fldName,fldInvestmentExpected,fldInvExpFixYear,fldNpdidField
ALVE,952,2025,4444332
ALVE NORD,4158,2025,42002483
ALVHEIM,17286,2025,2845712
BALDER,29746,2025,43562
BAUGE,594,2025,29446221
BERLING,8145,2025,42002473
BESTLA,5294,2025,42002507
BLANE,0,2025,3437650
BRAGE,3376,2025,43651
BREIDABLIKK,9089,2025,38702206
BYRDING,4,2025,28975067
BØYLA,1383,2025,22492497
DRAUGEN,8786,2025,43758
DUVA,429,2025,34833026
EDVARD GRIEG,2495,2025,21675433
EIRIN,1966,2025,42002492
EKOFISK,13522,2025,43506
ELDFISK,11500,2025,43527
EMBLA,-3,2025,43534
ENOCH,0,2025,3437659
FENJA,728,2025,31164879
FENRIS,7996,2025,42002478
FRAM,23213,2025,1578840
FRAM H-NORD,0,2025,23410947
FULLA,9383,2025,42002479
GIMLE,0,2025,4005142
GINA KROG,1076,2025,23384544
GJØA,863,2025,4467574
GOLIAT,3304,2025,5774394
GRANE,15032,2025,1035937
GUDRUN,5428,2025,18116481
GULLFAKS,39479,2025,43686
GULLFAKS SØR,13271,2025,43699
GUNGNE,0,2025,43464
HALTEN ØST,4471,2025,42148955
HANZ,9,2025,25307278
HEIDRUN,39377,2025,43771
HOD,315,2025,43485
HUGIN,67018,2025,42002474
HYME,82,2025,20474183
IDUN NORD,2468,2025,42002477
IRPA,8109,2025,42002482
ISLAY,0,2025,21105675
IVAR AASEN,2715,2025,23384520
JOHAN CASTBERG,17838,2025,32017325
JOHAN SVERDRUP,45768,2025,26376286
KRISTIN,8282,2025,1854729
KVITEBJØRN,2211,2025,1036101
MARIA,2895,2025,26465170
MARTIN LINGE,7745,2025,21675447
MARULK,1306,2025,18212090
MIKKEL,899,2025,1630514
MORVIN,3,2025,4966234
MUNIN,30569,2025,42002476
NJORD,9667,2025,43751
NORNE,1152,2025,43778
NOVA,1028,2025,33197696
ODA,0,2025,29412516
ORMEN LANGE,3111,2025,2762452
OSEBERG,27226,2025,43625
OSEBERG SØR,11113,2025,43645
OSEBERG ØST,77,2025,43639
REV,0,2025,4467554
RINGHORNE ØST,707,2025,3505505
SIGYN,1016,2025,1630100
SKARV,5164,2025,4704482
SKOGUL,4,2025,31164600
SKULD,191,2025,21350124
SLEIPNER VEST,9894,2025,43457
SLEIPNER ØST,2014,2025,43478
SNORRE,67440,2025,43718
SNØHVIT,26180,2025,2053062
SOLVEIG,5826,2025,34833011
STATFJORD,10532,2025,43658
STATFJORD NORD,2611,2025,43679
STATFJORD ØST,2418,2025,43672
SVALIN,217,2025,22507971
SYGNA,392,2025,104718
SYMRA,6677,2025,42002480
TAMBAR,232,2025,1028599
TAMBAR ØST,681,2025,4999528
TOMMELITEN A,422,2025,40867462
TOR,41,2025,43520
TORDIS,6620,2025,43725
TRESTAKK,80,2025,29396445
TROLL,38228,2025,46437
TRYM,0,2025,18081500
TUNE,7,2025,853376
TYRIHANS,1744,2025,3960848
TYRVING,-23,2025,42002471
ULA,95,2025,43800
URD,187,2025,2834734
UTGARD,597,2025,28975098
VALEMON,111,2025,20460969
VALHALL,55876,2025,43548
VEGA,165,2025,4467595
VERDANDE,4678,2025,42002481
VIGDIS,11915,2025,43732
VILJE,60,2025,3392471
VISUND,10102,2025,43745
VISUND SØR,1641,2025,20461008
VOLUND,64,2025,4380167
YME,9,2025,43807
ÆRFUGL NORD,6,2025,38542241
ØRN,4692,2025,42002484
ÅSGARD,25067,2025,43765
AASTA HANSTEEN,1709,2025,23395946

